Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Phoenix Coyotes,2013/03/28  @ NSH,NSH,1,1,0,0,0,2,7,4,29,38,1,2,50,4,0,100,31,23,57.4
Carolina Hurricanes,2013/04/08  @ BOS,BOS,1,0,1,0,0,0,2,6,42,36,0,1,0,2,0,100,39,35,52.7
Detroit Red Wings,2013/01/29  vs. DAL,DAL,1,1,0,0,0,2,4,1,27,26,1,6,16.7,5,0,100,36,24,60
Columbus Blue Jackets,2013/04/21  @ SJS,SJS,1,1,0,0,0,2,4,3,22,35,1,2,50,2,1,50,26,22,54.2
New Jersey Devils,2013/04/06  vs. TOR,TOR,1,0,1,0,0,0,1,2,28,18,0,5,0,5,0,100,19,29,39.6
New York Islanders,2013/03/07  vs. NYR,NYR,1,0,0,0,1,1,1,2,29,37,0,0,0,3,1,66.7,18,23,43.9
Ottawa Senators,2013/04/28  @ BOS,BOS,1,1,0,0,0,2,4,2,22,36,0,2,0,2,1,50,21,36,36.8
Carolina Hurricanes,2013/03/26  vs. WPG,WPG,1,0,1,0,0,0,1,4,39,35,0,3,0,2,1,50,26,25,51
Philadelphia Flyers,2013/03/10  vs. BUF,BUF,1,1,0,0,0,2,3,2,28,20,2,6,33.3,3,0,100,25,27,48.1
San Jose Sharks,2013/02/19  @ STL,STL,1,1,0,0,0,2,2,1,25,26,0,4,0,3,0,100,37,31,54.4
Colorado Avalanche,2013/02/20  vs. STL,STL,1,1,0,0,0,2,1,0,20,33,0,1,0,2,0,100,27,30,47.4
Nashville Predators,2013/01/21  vs. STL,STL,1,0,0,0,1,1,3,3,24,39,2,6,33.3,2,1,50,36,28,56.3
Calgary Flames,2013/01/20  vs. SJS,SJS,1,0,1,0,0,0,1,4,32,29,1,3,33.3,6,2,66.7,27,42,39.1
Calgary Flames,2013/04/26  @ CHI,CHI,1,0,1,0,0,0,1,3,26,38,0,0,0,2,0,100,24,32,42.9
Dallas Stars,2013/04/03  @ ANA,ANA,1,0,1,0,0,0,2,5,25,27,0,0,0,1,1,0,31,30,50.8
Vancouver Canucks,2013/03/10  @ MIN,MIN,1,0,1,0,0,0,2,4,27,32,0,4,0,3,1,66.7,25,29,46.3
New York Rangers,2013/03/08  vs. OTT,OTT,1,0,1,0,0,0,2,3,35,39,0,2,0,3,1,66.7,27,32,45.8
Toronto Maple Leafs,2013/03/12  @ WPG,WPG,1,0,1,0,0,0,2,5,26,34,0,3,0,4,1,75,28,33,45.9
Columbus Blue Jackets,2013/03/03  vs. COL,COL,1,1,0,0,0,2,2,1,34,19,2,5,40,2,0,100,35,34,50.7
Los Angeles Kings,2013/03/09  vs. CGY,CGY,1,1,0,0,0,2,6,2,24,19,1,1,100,4,1,75,32,36,47.1
Ottawa Senators,2013/03/21  vs. BOS,BOS,1,0,1,0,0,0,1,2,28,29,0,0,0,2,0,100,27,34,44.3
Colorado Avalanche,2013/03/23  @ DAL,DAL,1,0,1,0,0,0,2,5,35,31,1,3,33.3,4,1,75,31,34,47.7
